,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,time_diff,isWillingToWalk,numberOfPassengers
45633,978823,2016-06-10 08:00:16,2016-06-10 09:16:56,1,34166.288199999995,-73.77837371826173,40.64680862426758,-73.97693634033203,40.78007125854492,76.66666666666667,0,2
45634,979070,2016-06-10 08:00:32,2016-06-10 09:26:02,2,28952.0266,-73.7766876220703,40.645240783691406,-73.99600219726562,40.73442077636719,85.5,0,1
45635,979323,2016-06-10 08:00:49,2016-06-10 09:18:54,1,27197.846,-73.79057312011719,40.643550872802734,-73.98506164550781,40.758209228515625,78.08333333333333,1,2
45636,979402,2016-06-10 08:00:57,2016-06-10 09:17:15,1,29016.4002,-73.78217315673827,40.64472961425781,-73.97765350341797,40.76137161254883,76.3,1,1
45637,979544,2016-06-10 08:01:10,2016-06-10 09:14:33,1,32991.47,-73.77677154541014,40.645408630371094,-73.96566772460938,40.77429962158203,73.38333333333334,0,1
45638,979546,2016-06-10 08:01:10,2016-06-10 09:16:36,1,34439.876000000004,-73.79048156738281,40.6436653137207,-73.94701385498048,40.8160514831543,75.43333333333334,0,1
45639,979553,2016-06-10 08:01:11,2016-06-10 09:14:02,6,34423.7826,-73.78215789794923,40.644798278808594,-73.9867630004883,40.70256042480469,72.85,1,1
45640,979687,2016-06-10 08:01:20,2016-06-10 09:34:29,1,32750.069,-73.77667999267578,40.64527893066406,-73.98023986816406,40.76763153076172,93.15,1,2
45641,979700,2016-06-10 08:01:22,2016-06-10 09:29:11,1,27358.78,-73.79009246826173,40.6469955444336,-73.98986053466798,40.74836730957031,87.81666666666666,1,2
45642,979896,2016-06-10 08:01:45,2016-06-10 09:18:05,3,28002.516,-73.7767105102539,40.645450592041016,-74.01537322998048,40.70901489257813,76.33333333333333,0,2
45643,979960,2016-06-10 08:01:49,2016-06-10 09:24:05,1,29531.389,-73.77677154541014,40.6455192565918,-73.9833755493164,40.75614547729492,82.26666666666667,1,1
45644,980524,2016-06-10 08:02:17,2016-06-10 09:18:51,1,27954.2358,-73.7766876220703,40.64522933959961,-73.9768295288086,40.74929809570313,76.56666666666666,1,2
45645,980548,2016-06-10 08:02:22,2016-06-10 09:27:20,1,28308.2906,-73.78582763671875,40.64548110961913,-73.98017120361328,40.75782012939453,84.96666666666667,0,2
45646,980598,2016-06-10 08:02:25,2016-06-10 09:40:55,1,30641.8336,-73.77686309814453,40.64516830444336,-73.98297882080078,40.75521087646485,98.5,1,2
45647,980758,2016-06-10 08:02:38,2016-06-10 09:15:34,5,29273.8946,-73.78192901611328,40.6449089050293,-73.99121856689453,40.74295043945313,72.93333333333334,1,1
45648,980885,2016-06-10 08:02:54,2016-06-10 09:20:58,6,32347.734,-73.78166198730467,40.64481735229492,-73.96524047851562,40.79193878173828,78.06666666666666,0,1
45649,980897,2016-06-10 08:02:56,2016-06-10 09:20:17,1,26039.1212,-73.79186248779298,40.64513778686523,-73.97658538818358,40.74770736694336,77.35,0,2
45650,980900,2016-06-10 08:02:57,2016-06-10 09:24:54,1,27036.912,-73.79031372070312,40.6468620300293,-73.98861694335938,40.74473571777344,81.95,1,1
45651,981129,2016-06-10 08:03:24,2016-06-10 09:03:30,1,25846.0004,-73.79113006591797,40.66173934936523,-73.9902114868164,40.72893142700195,60.1,0,1
45652,982440,2016-06-10 08:04:17,2016-06-10 09:19:42,1,37014.82,-73.78217315673827,40.6445541381836,-73.97789001464844,40.72942733764648,75.41666666666667,1,2
45653,982593,2016-06-10 08:04:25,2016-06-10 09:33:44,1,29772.79,-73.7767105102539,40.645183563232415,-73.97923278808595,40.761497497558594,89.31666666666666,0,2
45654,982738,2016-06-10 08:04:35,2016-06-10 09:06:47,1,27213.9394,-73.77671813964845,40.645450592041016,-73.96652984619139,40.75495147705078,62.2,0,2
45655,983271,2016-06-10 08:05:22,2016-06-10 09:27:05,1,27680.648,-73.78111267089844,40.64501953125,-73.9839859008789,40.736087799072266,81.71666666666667,0,2
45656,983279,2016-06-10 08:05:23,2016-06-10 09:14:14,2,26023.0278,-73.77677154541014,40.64544296264648,-73.99436950683594,40.70039749145508,68.85,1,2
45657,981313,2016-06-10 08:07:11,2016-06-10 10:00:42,2,31703.998,-73.77677917480467,40.64540481567383,-73.9888687133789,40.77775955200195,113.51666666666668,0,1
45658,1263037,2016-06-10 08:07:17,2016-06-10 09:28:08,1,29273.8946,-73.7815170288086,40.64484024047852,-73.99324798583984,40.735069274902344,80.85,0,2
45659,1263324,2016-06-10 08:07:28,2016-06-10 09:15:52,2,26232.242000000002,-73.77672576904298,40.645332336425774,-73.98059844970702,40.75313186645508,68.4,1,1
45660,1263337,2016-06-10 08:07:31,2016-06-10 09:53:10,1,28646.252,-73.79017639160156,40.65535354614258,-73.97885131835938,40.76440048217773,105.65,1,2
45661,1263777,2016-06-10 08:07:49,2016-06-10 09:33:10,1,28646.252,-73.77848052978516,40.64675903320313,-73.98566436767578,40.752288818359375,85.35,0,1
45662,1263802,2016-06-10 08:07:54,2016-06-10 09:27:43,1,27358.78,-73.78176879882812,40.644798278808594,-73.99063110351562,40.74546813964844,79.81666666666666,1,1
45663,1263926,2016-06-10 08:07:55,2016-06-10 09:18:05,1,31349.9432,-73.79000091552734,40.646949768066406,-73.96939849853516,40.79811096191406,70.16666666666667,0,2
45664,1260872,2016-06-10 08:09:25,2016-06-10 09:17:29,6,32750.069,-73.78945922851562,40.6468505859375,-73.95948791503906,40.77109909057617,68.06666666666666,0,2
