,Unnamed: 0,Unnamed: 0.1,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,time_diff,isWillingToWalk,numberOfPassengers
21,21,982593,1,2016-06-10 08:04:25,2016-06-10 09:33:44,1,29772.79,-73.7767105102539,40.6451835632324,2,N,-73.97923278808601,40.7614974975586,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,89.3166666666667,0,1
22,22,982738,2,2016-06-10 08:04:35,2016-06-10 09:06:47,1,27213.9394,-73.77671813964851,40.645450592041,2,N,-73.9665298461914,40.754951477050795,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,62.2,0,1
23,23,983271,1,2016-06-10 08:05:22,2016-06-10 09:27:05,1,27680.648,-73.78111267089841,40.64501953125,2,N,-73.9839859008789,40.7360877990723,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84,81.7166666666667,0,3
24,24,983279,2,2016-06-10 08:05:23,2016-06-10 09:14:14,2,26023.0278,-73.77677154541009,40.6454429626465,1,N,-73.99436950683591,40.7003974914551,1,56.0,0.0,0.5,11.36,0.0,0.3,68.16,68.85,1,1
25,25,983326,1,2016-06-10 08:05:25,2016-06-10 09:11:02,2,5310.821999999999,-73.7883605957031,40.6474647521973,1,N,-73.9497756958008,40.801239013671896,3,2.5,0.0,0.5,0.0,5.54,0.3,8.84,65.6166666666667,0,3
26,26,1259573,2,2016-06-10 08:12:04,2016-06-10 09:35:12,1,28839.3728,-73.7767791748047,40.6453132629395,2,N,-73.997314453125,40.7292251586914,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,83.1333333333333,0,1
27,27,1259589,1,2016-06-10 08:12:07,2016-06-10 09:27:55,1,33474.272000000004,-73.7907257080078,40.6470832824707,2,N,-73.9770965576172,40.7545127868652,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,75.8,1,2
28,28,1260162,1,2016-06-10 08:12:41,2016-06-10 09:25:45,3,46348.992,-73.7768630981445,40.645721435546896,2,N,-74.0089492797852,40.7087631225586,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,73.0666666666667,1,1
29,29,1260725,1,2016-06-10 08:13:01,2016-06-10 09:42:17,1,29772.79,-73.7819595336914,40.644569396972706,2,N,-73.9890975952148,40.763832092285206,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,89.2666666666667,1,3
30,30,1260750,2,2016-06-10 08:13:06,2016-06-10 09:24:12,1,33586.9258,-73.7898864746094,40.646369934081996,2,N,-73.97984313964851,40.7778205871582,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,71.1,1,2
31,31,1260957,1,2016-06-10 08:13:15,2016-06-10 09:50:47,1,28646.252,-73.7811737060547,40.64503860473629,2,N,-73.976676940918,40.763389587402294,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,97.5333333333333,1,2
32,32,1261047,1,2016-06-10 08:09:35,2016-06-10 09:20:00,1,33957.074,-73.7768020629883,40.64536666870121,2,N,-73.9769592285156,40.776782989502,1,52.0,0.0,0.5,18.55,0.0,0.3,71.35,70.4166666666667,0,2
33,33,1261360,2,2016-06-10 08:09:57,2016-06-10 09:23:28,2,28002.516,-73.7899169921875,40.6468734741211,2,N,-73.9875793457031,40.725379943847706,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,73.5166666666667,1,1
34,34,1262475,2,2016-06-10 08:10:47,2016-06-10 09:31:15,2,35131.8922,-73.7819519042969,40.644718170166,2,N,-73.9703674316406,40.7838706970215,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,80.4666666666667,0,3
35,35,1263037,2,2016-06-10 08:07:17,2016-06-10 09:28:08,1,29273.8946,-73.7815170288086,40.6448402404785,2,N,-73.9932479858398,40.735069274902294,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,80.85,0,2
36,36,1263301,2,2016-06-10 08:11:28,2016-06-10 09:19:28,1,32524.7614,-73.7767333984375,40.6454086303711,2,N,-73.9669570922852,40.798610687255895,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,68.0,1,1
37,37,1263324,1,2016-06-10 08:07:28,2016-06-10 09:15:52,2,26232.242,-73.776725769043,40.645332336425795,2,Y,-73.980598449707,40.7531318664551,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,68.4,1,2
38,38,1263337,1,2016-06-10 08:07:31,2016-06-10 09:53:10,1,28646.252,-73.79017639160159,40.6553535461426,2,N,-73.9788513183594,40.7644004821777,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,105.65,1,2
39,39,1263583,2,2016-06-10 08:11:37,2016-06-10 09:33:44,1,34874.3978,-73.7768325805664,40.64553833007809,2,N,-73.9830703735352,40.774421691894496,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84,82.1166666666667,0,3
40,40,1263752,2,2016-06-10 08:11:48,2016-06-10 09:20:20,1,26473.643,-73.7968826293945,40.6447715759277,2,N,-73.9854507446289,40.76002883911129,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,68.5333333333333,0,2
41,41,1263760,2,2016-06-10 08:11:49,2016-06-10 09:27:09,2,27986.4226,-73.7894973754883,40.6470718383789,2,N,-73.9751663208008,40.765388488769496,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,75.3333333333333,0,3
42,42,1263777,1,2016-06-10 08:07:49,2016-06-10 09:33:10,1,28646.252,-73.7784805297852,40.646759033203104,2,N,-73.9856643676758,40.752288818359396,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,85.35,0,2
43,43,1263802,1,2016-06-10 08:07:54,2016-06-10 09:27:43,1,27358.78,-73.7817687988281,40.6447982788086,2,N,-73.9906311035156,40.7454681396484,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,79.8166666666667,0,3
44,44,1263926,2,2016-06-10 08:07:55,2016-06-10 09:18:05,1,31349.9432,-73.7900009155273,40.6469497680664,2,N,-73.9693984985352,40.7981109619141,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,70.1666666666667,1,1
45,45,1389353,1,2016-06-10 08:14:13,2016-06-10 09:39:12,4,33474.272000000004,-73.7770004272461,40.646266937255895,2,N,-74.0055618286133,40.7074775695801,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,84.9833333333333,0,3
46,46,1389840,1,2016-06-10 08:14:57,2016-06-10 09:32:21,1,29450.922,-73.7820663452148,40.6444664001465,2,Y,-73.9861679077148,40.718692779541,1,52.0,0.0,0.5,15.0,5.54,0.3,73.34,77.4,0,2
47,47,1390021,2,2016-06-10 08:15:11,2016-06-10 09:29:55,1,43902.7952,-73.7767868041992,40.645290374755895,1,N,-73.9947814941406,40.6975517272949,2,77.0,0.0,0.5,0.0,0.0,0.3,77.8,74.7333333333333,0,3
48,48,1390030,2,2016-06-10 08:15:13,2016-06-10 09:25:22,2,34439.876000000004,-73.7810897827148,40.6450996398926,2,N,-73.9861373901367,40.7757682800293,1,52.0,0.0,0.5,7.5,5.54,0.3,65.84,70.15,0,3
49,49,1390401,1,2016-06-10 08:15:39,2016-06-10 09:44:31,1,27841.582,-73.78263092041009,40.6468658447266,2,N,-73.9726104736328,40.7563323974609,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,88.8666666666667,1,1
50,50,1390477,2,2016-06-10 08:15:45,2016-06-10 09:37:33,4,30014.191000000006,-73.7895278930664,40.6469383239746,2,N,-74.0077362060547,40.740730285644496,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,81.8,1,3
51,51,1390758,2,2016-06-10 08:13:37,2016-06-10 09:15:59,1,21822.6504,-73.782112121582,40.644802093505895,1,N,-73.99705505371091,40.692596435546896,1,51.0,0.0,0.5,10.36,0.0,0.3,62.16,62.366666666666696,1,2
52,52,1390812,2,2016-06-10 08:16:03,2016-06-10 09:35:42,1,45528.2286,-73.7779312133789,40.6467895507812,2,N,-74.01307678222659,40.70241165161129,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,79.65,1,2
53,53,1390823,2,2016-06-10 08:16:06,2016-06-10 09:35:43,2,27374.8734,-73.7767333984375,40.64552688598629,2,N,-73.97894287109379,40.7616844177246,1,52.0,0.0,0.5,0.0,0.0,0.3,52.8,79.6166666666667,1,1
54,54,1391033,2,2016-06-10 08:16:22,2016-06-10 09:28:29,1,25829.907000000007,-73.7820205688477,40.6448097229004,2,N,-74.0060729980469,40.7224998474121,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,72.1166666666667,1,3
55,55,1391115,1,2016-06-10 08:13:59,2016-06-10 09:36:49,1,35244.546,-73.7819366455078,40.64468383789061,2,N,-73.984001159668,40.7223510742188,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,82.8333333333333,0,2
56,56,1391336,2,2016-06-10 08:18:25,2016-06-10 09:26:59,3,26940.3516,-73.7820129394531,40.6445808410645,2,N,-73.9724578857422,40.7465400695801,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,68.5666666666667,1,2
57,57,1391571,1,2016-06-10 08:18:50,2016-06-10 09:26:58,1,32830.536,-73.785041809082,40.645809173584,2,N,-73.97119140625,40.7854156494141,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,68.1333333333333,1,1
58,58,1391590,1,2016-06-10 08:18:53,2016-06-10 09:56:44,4,28485.318,-73.7817764282227,40.644702911377,2,N,-73.99639892578121,40.7585601806641,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,97.85,1,2
59,59,1392215,2,2016-06-10 08:23:14,2016-06-10 09:36:24,2,29289.988,-73.783561706543,40.646411895752,2,N,-73.98851013183591,40.72520065307621,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,73.1666666666667,1,3
60,60,1392231,2,2016-06-10 08:23:17,2016-06-10 09:46:17,3,37030.9134,-73.7818832397461,40.644718170166,2,N,-74.0058135986328,40.71876907348629,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,83.0,1,2
61,61,1392312,2,2016-06-10 08:23:25,2016-06-10 09:40:01,1,27101.2856,-73.7898712158203,40.6468353271484,2,N,-73.9886779785156,40.7485504150391,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,76.6,1,1
62,62,1392334,2,2016-06-10 08:19:35,2016-06-10 09:22:43,6,26312.709,-73.7892837524414,40.646919250488295,2,N,-73.9725112915039,40.7528686523438,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84,63.133333333333304,0,1
63,63,1392483,2,2016-06-10 08:23:34,2016-06-10 09:31:12,1,34085.8212,-73.7891387939453,40.6469497680664,2,N,-73.9718780517578,40.7563591003418,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,67.6333333333333,1,2
64,64,1392836,2,2016-06-10 08:23:58,2016-06-10 09:32:22,1,34214.5684,-73.78382873535149,40.646411895752,2,N,-73.973030090332,40.7854995727539,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,68.4,1,1
65,65,1392900,1,2016-06-10 08:24:06,2016-06-10 09:47:31,1,30416.526,-73.7769317626953,40.646091461181605,2,N,-73.99095153808601,40.7147445678711,1,52.0,0.0,0.5,6.0,0.0,0.3,58.8,83.4166666666667,1,3
66,66,1393071,2,2016-06-10 08:19:58,2016-06-10 09:46:57,1,30513.0864,-73.7818908691406,40.644775390625,2,N,-74.00579833984379,40.7454986572266,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,86.9833333333333,1,2
