,destID,destLat,destLong,timeFromSrc,distFromSrc
90,DEST91,40.87678329,-73.93144807,1727.269,37642.479
91,DEST92,40.87612612,-73.92970734,1726.529,37619.062999999995
92,DEST93,40.87546895,-73.92796659999999,1725.058,37572.458
93,DEST94,40.87481179,-73.92622587,1681.192,37007.873999999996
94,DEST95,40.87415462,-73.92448514,1683.024,37065.892
95,DEST96,40.87349745,-73.9227444,1705.549,37277.271
96,DEST97,40.87284029,-73.92100367,1781.018,35809.13
97,DEST98,40.87218312,-73.91926294,1775.294,35764.609
98,DEST99,40.87152595,-73.91752220000001,1782.382,35819.745
99,DEST100,40.87086879,-73.91578147,1772.175,35787.593
100,DEST101,40.87021162,-73.91404074,1752.933,35510.74
101,DEST102,40.86955445,-73.9123,1763.057,35672.996
102,DEST103,40.86889729,-73.91055927,1776.086,35774.33
103,DEST104,40.86824012,-73.90881854,1793.946,37271.905
104,DEST105,40.86758295,-73.9070778,1762.73,35393.685
105,DEST106,40.86692579,-73.90533707,1896.987,34118.458
106,DEST107,40.86626862,-73.90359634,1847.6,34050.091
107,DEST108,40.86561145,-73.9018556,1795.937,33393.735
108,DEST109,40.86495429,-73.90011487,1769.511,33276.28
109,DEST110,40.86429712,-73.89837414,1749.596,33071.652
110,DEST111,40.86363995,-73.8966334,1684.668,32879.495
111,DEST112,40.86298279,-73.89489267,1685.92,32536.007
112,DEST113,40.86232562,-73.89315194,1662.578,32287.388
113,DEST114,40.86166845,-73.89141120000001,1628.304,32040.221
114,DEST115,40.86101129,-73.88967047,1611.49,31872.065
115,DEST116,40.86035412,-73.88792974,1668.546,31881.132999999998
116,DEST117,40.85969695,-73.886189,1619.426,31768.606
117,DEST118,40.85903979,-73.88444827,1621.95,31549.371
118,DEST119,40.85838262,-73.88270754,1590.04,31361.994
119,DEST120,40.85772545,-73.8809668,1629.926,31895.804
120,DEST121,40.87524271,-73.93246843,1731.172,37766.08
121,DEST122,40.87458555,-73.9307277,1731.113,37764.215
122,DEST123,40.87392838,-73.92898696,1730.579,37747.293
123,DEST124,40.87327121,-73.92724623,1674.973,36810.912000000004
