,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,time_diff,isWillingToWalk,numberOfPassengers
36609,95405,2016-03-10 14:03:45,2016-03-10 15:07:45,1,27326.5932,-73.78966522216798,40.6468505859375,-73.98283386230467,40.755897521972656,64.0,0,1
36610,95482,2016-03-10 14:04:11,2016-03-10 15:25:43,1,30722.3006,-73.7766342163086,40.645263671875,-73.9894790649414,40.75893783569336,81.53333333333333,0,2
36611,8831587,2016-03-10 14:04:14,2016-03-10 14:51:26,1,25749.44,-73.80615234375,40.6521873474121,-73.98975372314453,40.746864318847656,47.2,1,2
36612,8831601,2016-03-10 14:04:19,2016-03-10 14:54:29,1,28807.186,-73.78021240234375,40.6456298828125,-73.9950180053711,40.72423934936523,50.16666666666666,1,2
36613,95543,2016-03-10 14:04:32,2016-03-10 14:52:06,6,27455.3404,-73.78948211669923,40.64689636230469,-73.98367309570312,40.743953704833984,47.56666666666667,1,1
36614,8831685,2016-03-10 14:04:48,2016-03-10 14:51:34,2,30416.525999999994,-73.7811050415039,40.64506912231445,-73.99713134765625,40.72917938232422,46.76666666666666,0,2
36615,8831690,2016-03-10 14:04:51,2016-03-10 15:03:50,1,30094.658,-73.78160858154298,40.64484786987305,-74.00686645507811,40.73565673828125,58.98333333333333,1,2
36616,8831723,2016-03-10 14:05:03,2016-03-10 15:04:14,1,28163.45,-73.78182983398438,40.64485931396485,-73.97369384765625,40.75569152832031,59.18333333333333,0,2
36617,95649,2016-03-10 14:05:09,2016-03-10 15:09:04,2,28581.8784,-73.78182983398438,40.64474868774415,-73.98983001708984,40.75613403320313,63.91666666666666,1,1
36618,95749,2016-03-10 14:05:41,2016-03-10 15:18:29,6,31736.184799999995,-73.78317260742188,40.64675903320313,-74.00530242919923,40.72053909301758,72.8,1,2
36619,8831847,2016-03-10 14:05:49,2016-03-10 15:11:20,1,33635.206,-73.7821273803711,40.64481735229492,-73.98049163818358,40.78228759765625,65.51666666666667,1,2
36620,8831870,2016-03-10 14:05:57,2016-03-10 15:06:11,2,34600.81,-73.78182983398438,40.644813537597656,-73.98519134521484,40.7801513671875,60.23333333333333,0,2
36621,8831905,2016-03-10 14:06:05,2016-03-10 15:41:21,2,28807.186,-73.7767333984375,40.64516830444336,-73.98910522460938,40.75276947021485,95.26666666666668,1,2
