DEST105,40.86758295,-73.9070778,1762730,35393.685
DEST106,40.86692579,-73.90533707,1896987,34118.458
DEST107,40.86626862,-73.90359634,1847600,34050.091
DEST108,40.86561145,-73.9018556,1795937,33393.735
DEST109,40.86495429,-73.90011487,1769511,33276.28
DEST110,40.86429712,-73.89837414,1749596,33071.652
DEST111,40.86363995,-73.8966334,1684668,32879.495
DEST112,40.86298279,-73.89489267,1685920,32536.007
DEST113,40.86232562,-73.89315194,1662578,32287.388
DEST114,40.86166845,-73.8914112,1628304,32040.221
DEST115,40.86101129,-73.88967047,1611490,31872.065
DEST116,40.86035412,-73.88792974,1668546,31881.133
DEST117,40.85969695,-73.886189,1619426,31768.606
DEST118,40.85903979,-73.88444827,1621950,31549.371
DEST119,40.85838262,-73.88270754,1590040,31361.994
DEST120,40.85772545,-73.8809668,1629926,31895.804
DEST121,40.87524271,-73.93246843,1731172,37766.08
DEST122,40.87458555,-73.9307277,1731113,37764.215
DEST123,40.87392838,-73.92898696,1730579,37747.293
DEST124,40.87327121,-73.92724623,1674973,36810.912
DEST125,40.87261405,-73.9255055,1675271,36820.367
DEST126,40.87195688,-73.92376476,1746117,35355.088
DEST127,40.87129971,-73.92202403,1748357,35435.295
DEST128,40.87064255,-73.9202833,1752159,35496.551
DEST129,40.86998538,-73.91854256,1805521,36046.958
DEST130,40.86932821,-73.91680183,1745242,35468.477
DEST131,40.86867105,-73.9150611,1738411,35297.175
DEST132,40.86801388,-73.91332036,1756088,35597.328
DEST133,40.86735671,-73.91157963,1761990,35692.428
DEST134,40.86669955,-73.9098389,1911912,35241.205
DEST135,40.86604238,-73.90809816,1737871,35200.34
DEST136,40.86538521,-73.90635743,1790500,35326.615
DEST137,40.86472805,-73.9046167,1917098,34167.302
DEST138,40.86407088,-73.90287596,1793257,33362.466
DEST139,40.86341371,-73.90113523,1714209,32994.425
DEST140,40.86275655,-73.8993945,1710401,32897.448
DEST141,40.86209938,-73.89765376,1675670,32651.829
DEST142,40.86144221,-73.89591303,1681473,32592.356
DEST143,40.86078505,-73.8941723,1680558,32371.933
DEST144,40.86012788,-73.89243156,1669211,32028.907
DEST145,40.85947071,-73.89069083,1648659,31984.845
DEST146,40.85881355,-73.8889501,1639815,31823.311
DEST147,40.85815638,-73.88720936,1625113,31666.943
DEST148,40.85749921,-73.88546863,1587100,31497.986
DEST149,40.85684205,-73.8837279,1615200,31503.583
DEST150,40.85618488,-73.88198716,1568374,31285.415
DEST151,40.87370214,-73.93348879,1735994,37918.773
DEST152,40.87304498,-73.93174805,1736173,37924.453
