"destID","destLat","destLong","timeFromSrc","distFromSrc"
"DEST1079",40.80908433,-73.91535897,1548.371,28028.943
"DEST108",40.86561145,-73.9018556,1795.937,33393.735
"DEST1080",40.80842717,-73.91361823,1602.532,28021.017000000003
"DEST1081",40.82594443,-73.96511986,1904.978,39383.831
"DEST1082",40.82528726,-73.96337912,1682.329,30781.936
"DEST1083",40.8246301,-73.96163839,1714.656,37435.79
"DEST1084",40.82397293,-73.95989766,1714.321,37425.179
"DEST1085",40.82331576,-73.95815692,1713.986,37414.57
"DEST1086",40.822658600000004,-73.95641619,1702.994,31077.792999999998
"DEST1087",40.82200143,-73.95467546,1670.322,30768.21
"DEST1088",40.82134426,-73.95293472,1677.124,30759.342
"DEST1089",40.82068710000001,-73.95119399,1684.965,30578.926
"DEST109",40.86495429,-73.90011487,1769.511,33276.28
"DEST1090",40.82002993,-73.94945326,1686.998,30734.112
"DEST1091",40.81937276,-73.94771252,1723.506,30819.362
"DEST1092",40.818715600000004,-73.94597179,1618.15,30095.089
"DEST1093",40.81805843,-73.94423106,1602.448,29980.65
"DEST1094",40.81740126,-73.94249032,1639.244,30144.187
"DEST1095",40.8167441,-73.94074959,1577.0,29748.074
"DEST1096",40.81608693,-73.93900886,1514.273,29362.799
"DEST1097",40.81542976,-73.93726812,1498.994,29152.465
"DEST1098",40.814772600000005,-73.93552739,1524.007,29000.877999999997
"DEST1099",40.81411543,-73.93378666,1460.01,28946.362
"DEST11",40.87483333,-73.91097967,1927.944,37547.306000000004
"DEST110",40.86429712,-73.89837414,1749.596,33071.652
"DEST1100",40.81345826,-73.93204592,1581.894,29354.444
"DEST1101",40.8128011,-73.93030519,1472.774,28528.116
"DEST1102",40.81214393,-73.92856446,1505.031,28832.222
"DEST1103",40.81148676,-73.92682372,1525.506,28279.22
"DEST1104",40.810829600000005,-73.92508299,1523.158,28141.882
"DEST1105",40.81017243,-73.92334226,1500.973,27976.897999999997
"DEST1106",40.80951526,-73.92160152,1596.254,28173.593999999997
"DEST1107",40.8088581,-73.91986079,1559.459,28010.061
"DEST1108",40.80820093,-73.91812006,1522.661,27846.515
"DEST1109",40.80754376,-73.91637932,1525.082,27676.778
"DEST111",40.86363995,-73.8966334,1684.668,32879.495
"DEST1110",40.806886600000006,-73.91463859,1488.297,27513.289
"DEST1111",40.82440386,-73.96614021,1916.598,39805.614
"DEST1112",40.82374669,-73.96439948,1682.329,30781.936
"DEST1113",40.82308952,-73.96265875,1682.329,30781.936
"DEST1114",40.82243236,-73.96091801,1682.329,30781.936
"DEST1115",40.82177519,-73.95917728,1682.329,30781.936
"DEST1116",40.82111802,-73.95743655,1664.449,30761.362999999998
"DEST1117",40.82046086,-73.95569581,1643.537,30598.71
"DEST1118",40.81980369,-73.95395508,1646.411,30621.058999999997
"DEST1119",40.81914652,-73.95221435,1663.421,30387.422000000002
"DEST112",40.86298279,-73.89489267,1685.92,32536.007
"DEST1120",40.81848936,-73.95047361,1676.567,30249.737999999998
"DEST1121",40.81783219,-73.94873288,1766.347,31009.767999999996
"DEST1122",40.81717502,-73.94699215,1599.527,29943.732999999997
"DEST1123",40.81651786,-73.94525141,1586.374,29829.813
"DEST1124",40.81586069,-73.94351068,1552.743,29651.319
"DEST1125",40.81520352,-73.94176995,1561.046,29597.745
"DEST1126",40.81454636,-73.94002921,1492.748,29171.438
"DEST1127",40.81388919,-73.93828848,1546.427,29454.24
"DEST1128",40.81323202,-73.93654775,1455.412,28882.89
"DEST1129",40.81257486,-73.93480701,1542.082,29343.967999999997
"DEST113",40.86232562,-73.89315194,1662.578,32287.388
"DEST1130",40.81191769,-73.93306628,1506.787,28847.811
"DEST1131",40.81126052,-73.93132555,1458.001,28319.196
"DEST1132",40.81060336,-73.92958481,1536.476,28218.691000000003
"DEST1133",40.80994619,-73.92784408,1503.636,28091.106
"DEST1134",40.80928902,-73.92610335,1496.696,27902.581000000002
"DEST1135",40.80863186,-73.92436261,1524.357,28033.247000000003
"DEST1136",40.80797469,-73.92262188,1564.488,28353.341
"DEST1137",40.80731752,-73.92088115,1527.69,28189.79
"DEST1138",40.80666036,-73.91914041,1522.419,27846.801
"DEST1139",40.80600319,-73.91739968,1525.767,27679.822999999997
"DEST114",40.86166845,-73.89141120000001,1628.304,32040.221
"DEST1140",40.80534602,-73.91565895,1488.983,27516.337000000003
"DEST1141",40.82286329,-73.96716057,1931.411,39879.687000000005
"DEST1142",40.82220612,-73.96541984,1651.828,30557.231
"DEST1143",40.82154895,-73.9636791,1657.649,30670.928
"DEST1144",40.82089179,-73.96193837,1657.024,30658.418999999998
"DEST1145",40.82023462,-73.96019764,1656.398,30645.91
"DEST1146",40.81957745,-73.9584569,1650.23,30587.199
"DEST1147",40.81892029,-73.95671617,1629.298,30424.392999999996
"DEST1148",40.81826312,-73.95497544,1644.076,30462.987999999998
"DEST1149",40.81760595,-73.95323470000001,1643.651,30204.07
"DEST115",40.86101129,-73.88967047,1611.49,31872.065
"DEST1150",40.81694879,-73.95149397,1661.23,30073.405
"DEST1151",40.81629162,-73.94975324,1730.736,30525.499
"DEST1152",40.81563445,-73.9480125,1587.807,29875.65
"DEST1153",40.81497729,-73.94627177,1576.069,29708.572999999997
"DEST1154",40.81432012,-73.94453104,1535.727,29512.24
"DEST1155",40.81366295,-73.9427903,1567.614,29631.557
"DEST1156",40.81300579,-73.94104957,1554.97,29541.277000000002
"DEST1157",40.81234862,-73.93930884,1619.358,29725.308999999997
"DEST1158",40.81169145,-73.9375681,1456.376,28891.463
"DEST1159",40.81103429,-73.93582737,1467.111,28824.859
"DEST116",40.86035412,-73.88792974,1668.546,31881.132999999998
"DEST1160",40.81037712,-73.93408664,1408.446,28388.168999999998
"DEST1161",40.80971995,-73.9323459,1582.271,29197.272
"DEST1162",40.80906279,-73.93060517,1521.38,28206.101000000002
"DEST1163",40.80840562,-73.92886444,1502.958,28072.115
"DEST1164",40.80774845,-73.92712370000001,1537.871,29479.467999999997
"DEST1165",40.80709129,-73.92538297,1545.155,29642.676
"DEST1166",40.80643412,-73.92364224,1552.909,29806.366
"DEST1167",40.80577695,-73.9219015,1560.662,29970.046000000002
"DEST1168",40.80511979,-73.92016077,1413.82,27140.957000000002
"DEST1169",40.80446262,-73.91842004,1483.177,27703.991
"DEST117",40.85969695,-73.886189,1619.426,31768.606
"DEST1170",40.80380545,-73.9166793,1566.898,32157.821
"DEST1171",40.82132271,-73.96818093,1926.47,39995.074
"DEST1172",40.82066555,-73.9664402,1627.019,30480.924
"DEST1173",40.82000838,-73.96469946,1626.21,30464.158
